Formatter, loc, ns
scalafmt, 8, 538409788
scalafmt, 14, 540030377
scalafmt, 22, 542679251
scalafmt, 11, 542693491
scalafmt, 34, 545126956
scalafmt, 60, 560672386
scalafmt, 130, 589532739
scalafmt, 175, 819913544
scalariform, 14, 377020883
scalariform, 8, 379748931
scalariform, 11, 375204966
scalariform, 22, 380999955
scalariform, 34, 383130419
scalafmt, 8, 12264634
scalafmt, 11, 10161907
scalariform, 8, 2509499
scalariform, 60, 373816125
scalariform, 11, 4052541
scalafmt, 7, 4476810
scalariform, 7, 2343962
scalafmt, 11, 6500029
scalafmt, 6, 3104025
scalariform, 130, 355114593
scalariform, 6, 1851977
scalariform, 11, 4442998
scalafmt, 20, 29951015
scalariform, 20, 11248195
scalafmt, 148, 46960430
scalafmt, 18, 41866769
scalariform, 18, 2519041
scalafmt, 15, 43712585
scalariform, 15, 5663329
scalafmt, 22, 44856972
scalariform, 148, 27385554
scalariform, 22, 21744399
scalariform, 175, 232754630
scalafmt, 134, 109320825
scalafmt, 61, 107552086
scalafmt, 68, 101135448
scalafmt, 67, 85411226
scalafmt, 52, 115142637
scalariform, 134, 54678860
scalariform, 61, 36827585
scalafmt, 22, 22377776
scalariform, 68, 43171662
scalafmt, 50, 167275028
scalariform, 22, 10881401
scalariform, 67, 51079919
scalafmt, 45, 28201636
scalariform, 45, 21700923
scalariform, 52, 100092801
scalafmt, 141, 92087095
scalafmt, 51, 59992751
scalafmt, 62, 82851783
scalariform, 51, 43229458
scalariform, 141, 59925120
scalafmt, 25, 25104474
scalariform, 62, 39772080
scalariform, 25, 16766664
scalafmt, 22, 97659873
scalariform, 22, 6808015
scalafmt, 38, 37888467
scalariform, 50, 208295993
scalariform, 38, 25754415
scalafmt, 19, 3964002
scalafmt, 38, 92118956
scalariform, 19, 1802895
scalariform, 38, 16548365
scalafmt, 26, 22943347
scalafmt, 11, 9749031
scalariform, 11, 10399268
scalariform, 26, 27932356
scalafmt, 26, 21262427
scalafmt, 95, 384202366
scalariform, 26, 16988654
scalafmt, 46, 64144088
